LOCATION_CITY,SECTOR,CAPACITY_ACTUAL_ROOM,OCCUPIED_ROOMS
Toronto,Families,149,149
Toronto,Mixed Adult,57,57
North York,Families,67,67
North York,Families,161,161
Etobicoke,Mixed Adult,142,142
Toronto,Men,39,39
Toronto,Families,29,29
Toronto,Families,64,64
North York,Mixed Adult,11,11
North York,Mixed Adult,81,81
North York,Mixed Adult,15,15
North York,Mixed Adult,77,77
Scarborough,Women,103,103
Toronto,Families,44,44
Toronto,Families,49,49
Toronto,Families,20,20
Vaughan,Mixed Adult,69,66
Toronto,Families,32,32
Toronto,Mixed Adult,64,63
Toronto,Mixed Adult,83,82
Scarborough,Youth,46,46
North York,Mixed Adult,265,265
Toronto,Men,47,47
Toronto,Mixed Adult,7,7
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,155,155
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,77,77
Toronto,Families,27,27
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,149,149
Toronto,Mixed Adult,57,57
North York,Families,67,67
North York,Families,161,160
Etobicoke,Mixed Adult,142,142
Toronto,Men,39,39
Toronto,Families,29,29
Toronto,Families,64,63
North York,Mixed Adult,12,12
North York,Mixed Adult,81,81
North York,Mixed Adult,15,15
North York,Mixed Adult,76,76
Scarborough,Women,103,103
Toronto,Families,44,44
Toronto,Families,49,49
Toronto,Families,20,20
Vaughan,Mixed Adult,69,66
Toronto,Families,33,33
Toronto,Mixed Adult,65,63
Toronto,Mixed Adult,83,81
Scarborough,Youth,46,46
North York,Mixed Adult,264,264
Toronto,Men,47,47
Toronto,Mixed Adult,7,7
Scarborough,Mixed Adult,322,322
Toronto,Mixed Adult,161,161
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,77,77
Toronto,Families,27,25
North York,Women,55,55
Scarborough,Men,131,131
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,150,149
Toronto,Mixed Adult,57,57
North York,Families,68,68
North York,Families,160,160
Etobicoke,Mixed Adult,143,143
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,63,63
North York,Mixed Adult,12,12
North York,Mixed Adult,81,81
North York,Mixed Adult,15,15
North York,Mixed Adult,75,74
Scarborough,Women,103,103
Toronto,Families,45,45
Toronto,Families,48,48
Toronto,Families,20,20
Vaughan,Mixed Adult,69,65
Toronto,Families,33,33
Toronto,Mixed Adult,65,63
Toronto,Mixed Adult,83,81
Scarborough,Youth,46,46
North York,Mixed Adult,262,262
Toronto,Men,47,47
Toronto,Mixed Adult,7,7
Scarborough,Mixed Adult,323,323
Toronto,Mixed Adult,161,161
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,77,77
Toronto,Families,27,25
North York,Women,54,54
Scarborough,Men,131,131
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,150,150
Toronto,Mixed Adult,57,57
North York,Families,67,67
North York,Families,161,161
Etobicoke,Mixed Adult,144,144
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,82,82
North York,Mixed Adult,15,15
North York,Mixed Adult,74,74
Scarborough,Women,103,103
Toronto,Families,43,43
Toronto,Families,48,48
Toronto,Families,20,20
Vaughan,Mixed Adult,69,65
Toronto,Families,33,33
Toronto,Mixed Adult,65,63
Toronto,Mixed Adult,83,81
Scarborough,Youth,46,46
North York,Mixed Adult,264,264
Toronto,Men,47,47
Toronto,Mixed Adult,7,7
Scarborough,Mixed Adult,323,323
Toronto,Mixed Adult,164,164
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,77,76
Toronto,Families,27,25
North York,Women,53,53
Scarborough,Men,131,131
North York,Men,52,52
Toronto,Families,4,4
Toronto,Families,27,27
Toronto,Families,149,149
Toronto,Mixed Adult,57,57
North York,Families,68,68
North York,Families,162,162
Etobicoke,Mixed Adult,144,144
Toronto,Men,39,39
Toronto,Families,30,30
Toronto,Families,64,64
North York,Mixed Adult,12,12
North York,Mixed Adult,82,81
North York,Mixed Adult,15,15
North York,Mixed Adult,75,74
Scarborough,Women,103,103
Toronto,Families,43,43
Toronto,Families,48,48
Toronto,Families,20,20
Vaughan,Mixed Adult,69,65
Toronto,Families,33,33
Toronto,Mixed Adult,65,62
Toronto,Mixed Adult,83,81
Scarborough,Youth,46,45
North York,Mixed Adult,267,267
Toronto,Men,47,47
Toronto,Mixed Adult,7,7
Scarborough,Mixed Adult,323,323
Toronto,Mixed Adult,164,164
Toronto,Men,30,30
Toronto,Women,33,33
Toronto,Families,77,77
Toronto,Families,27,25
